t (s),t (h),$h_p$ (nm),$h_p$ ($\mu$m),$x_p$ (mm)
9100.0,2.5277777777777777,5240.404695374135,5.240404695374135,2.780373831775701
9200.0,2.5555555555555554,5262.315487973369,5.262315487973369,2.794392523364486
9300.0,2.5833333333333335,5282.880318743872,5.282880318743872,2.7897196261682247
9400.0,2.611111111111111,5310.944407531648,5.310944407531648,2.766355140186916
9500.0,2.638888888888889,5318.589271949816,5.318589271949816,2.8364485981308416
9600.0,2.6666666666666665,5341.205556625983,5.341205556625983,2.8271028037383177
9700.0,2.6944444444444446,5365.246940189024,5.3652469401890235,2.901869158878505
9800.0,2.7222222222222223,5385.431548356494,5.385431548356494,2.94392523364486
9900.0,2.75,5388.693392804708,5.388693392804709,2.897196261682243
10000.0,2.7777777777777777,5407.1520338456,5.4071520338456,2.9205607476635516
10100.0,2.8055555555555554,5441.805378525977,5.441805378525977,2.925233644859813
10200.0,2.8333333333333335,5464.649535076276,5.464649535076276,3.004672897196262
10300.0,2.861111111111111,5466.1397656467425,5.4661397656467425,2.967289719626168
10400.0,2.888888888888889,5486.124377376743,5.4861243773767425,3.014018691588785
10500.0,2.9166666666666665,5503.551382523093,5.503551382523093,3.060747663551402
10600.0,2.9444444444444446,5540.417474841133,5.540417474841133,3.079439252336449
10700.0,2.9722222222222223,5545.722687753557,5.545722687753557,3.018691588785047
10800.0,3.0,5557.706015410382,5.557706015410382,3.0560747663551404
10900.0,3.0277777777777777,5595.775269978064,5.595775269978064,3.093457943925234
11000.0,3.0555555555555554,5619.645062825052,5.619645062825052,3.149532710280374
11100.0,3.0833333333333335,5633.9232748801105,5.633923274880111,3.102803738317757
11200.0,3.111111111111111,5636.830103109229,5.6368301031092285,3.0747663551401874
11300.0,3.138888888888889,5668.396455771038,5.668396455771038,3.0514018691588785
11400.0,3.1666666666666665,5695.87925226818,5.695879252268179,3.2149532710280377
11500.0,3.1944444444444446,5695.372590880719,5.695372590880719,3.1308411214953273
11600.0,3.2222222222222223,5721.636805468866,5.721636805468867,3.196261682242991
11700.0,3.25,5752.625583373339,5.752625583373339,3.1168224299065423
11800.0,3.2777777777777777,5770.281046867177,5.770281046867177,3.2897196261682247
11900.0,3.3055555555555554,5774.118400350561,5.774118400350561,3.252336448598131
12000.0,3.3333333333333335,5805.767329360889,5.805767329360888,3.2383177570093458
12100.0,3.361111111111111,5822.287380701523,5.822287380701523,3.294392523364486
12200.0,3.388888888888889,5849.781203339425,5.8497812033394245,3.2429906542056077
12300.0,3.4166666666666665,5843.826648690041,5.843826648690041,3.2710280373831777
12400.0,3.4444444444444446,5877.363554085152,5.877363554085152,3.3130841121495327
12500.0,3.4722222222222223,5903.520416934437,5.903520416934437,3.3364485981308416
12600.0,3.5,5929.604076841235,5.929604076841235,3.2289719626168227
12700.0,3.5277777777777777,5932.271818829699,5.932271818829699,3.2850467289719627
12800.0,3.5555555555555554,5970.8985611560865,5.970898561156087,3.3457943925233646
12900.0,3.5833333333333335,5987.765621869584,5.987765621869584,3.4252336448598135
13000.0,3.611111111111111,6006.9356128838635,6.006935612883863,3.4719626168224305
13100.0,3.638888888888889,6025.325214026744,6.025325214026744,3.4065420560747666
13200.0,3.6666666666666665,6047.566781813829,6.0475667818138295,3.4485981308411215
13300.0,3.6944444444444446,6063.577992345908,6.063577992345907,3.4859813084112155
13400.0,3.7222222222222223,6079.808071707518,6.079808071707518,3.4953271028037385
13500.0,3.75,6099.817506277824,6.099817506277824,3.490654205607477
13600.0,3.7777777777777777,6127.644981237516,6.127644981237516,3.565420560747664
13700.0,3.8055555555555554,6137.506358230548,6.1375063582305485,3.514018691588785
13800.0,3.8333333333333335,6151.939244214026,6.151939244214026,3.6308411214953273
13900.0,3.861111111111111,6174.7996068364355,6.1747996068364355,3.626168224299066
14000.0,3.888888888888889,6201.147852011454,6.201147852011454,3.593457943925234
14100.0,3.9166666666666665,6211.399779298724,6.2113997792987234,3.5841121495327104
14200.0,3.9444444444444446,6240.523402583849,6.240523402583849,3.6308411214953273
14300.0,3.9722222222222223,6255.948401349825,6.2559484013498246,3.6448598130841123
14400.0,4.0,6273.051007775831,6.273051007775831,3.6168224299065423
